,,,lr,lr,lr,lr,lr,lr,lr
mlp,mnist,rc,lr1e-4,lr1e-4,lr1e-4,,,,
mlp,mnist,rcapp,lr1e-4,lr1e-4,lr1e-3,lr1e-4,lr1e-3,lr1e-4,lr1e-3
mlp,mnist,supervised,lr1e-3,,,,,,
resnet,cifar10,cc,lr1e-2,lr1e-2,lr1e-2,,,,
resnet,cifar10,ccapp,lr1e-2,lr1e-2,lr1e-3,lr1e-3,lr1e-3,lr1e-4,lr1e-4
resnet,cifar10,dllp,lr1e-2,lr1e-2,lr1e-3,lr1e-3,lr1e-3,lr1e-3,lr1e-4
resnet,cifar10,llpfc,lr1e-2,lr1e-2,lr1e-2,lr1e-2,lr1e-2,lr1e-3,lr1e-3
resnet,cifar10,ot,lr1e-2,lr1e-2,lr1e-3,lr1e-3,lr1e-3,lr1e-4,lr1e-4
resnet,cifar10,pll,lr1e-2,lr1e-2,lr1e-3,lr1e-3,lr1e-3,lr1e-1,lr1e-1
resnet,cifar10,rc,lr1e-2,lr1e-2,lr1e-3,,,,
resnet,cifar10,rcapp,lr1e-2,lr1e-2,lr1e-3,lr1e-3,lr1e-3,lr1e-4,lr1e-4
resnet,cifar10,supervised,lr1e-2,,,,,,
